isbn,book_title,author,genre,publisher,price,rating,copies_sold
104635432-9,Wonder Boys,Johann Date,Science Fiction,Quire,4.29,3.8,16701866
614399743-8,No Small Affair,Cacilia Pawlaczyk,Historical,Livefish,28.04,4.4,19265993
320567710-2,Friday the 13th Part VII: The New Blood,Chandler Harcarse,Science Fiction,Twitterworks,47.79,1.9,12944327
378443964-0,Calling Dr. Death,Lisle Marion,Mystery,Skipfire,10.38,2.6,8814872
812673086-2,Better Living Through Chemistry,Lettie McArt,Historical,Edgewire,12.98,4,4090973
325524688-1,Arabesque,Ronda Genike,Thriller,Ainyx,6.53,3.7,1387235
652076249-0,Nobody Will Speak of Us When We're Dead (Nadie hablará de nosotras cuando hayamos muerto),Cathie Peaurt,Science Fiction,Kare,39.04,1.5,16234421
472925608-5,"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La)",Jeff Fontes,Romance,Gabtype,30.01,3.3,6112880
699887171-6,Compliance,Welsh Gunda,Nonfiction,Voolith,18.58,3.4,4131554
309418693-9,Brainscan,Ahmad Coggen,Romance,Tavu,22.92,0.9,2563302
960889002-0,Bob le Flambeur,Rennie Russi,Romance,Shufflebeat,28.96,0.5,10989625
265499193-8,In the Mirror of Maya Deren (Im Spiegel der Maya Deren),Tanny Bance,Fantasy,Tagfeed,11.72,1.2,876803
820122264-4,Women Without Men (Zanan-e bedun-e mardan),Jerrilyn Mogey,Science Fiction,Minyx,39.24,3.4,9078476
140716616-6,Jellyfish (Meduzot),Selina Douris,Historical,Layo,38.77,0.2,5485651
014356263-0,One to Another (Chacun sa nuit),Evvie Grummitt,Thriller,Tagtune,33.85,4.7,12986596
204848298-8,"First Beautiful Thing, The (La prima cosa bella)",Myrlene Farr,Thriller,Quire,16.15,3.6,2745897
199285137-9,What Maisie Knew,Cameron Tumini,Science Fiction,Mynte,44.69,0.2,10588565
983185888-3,Anita,Sean Jore,Nonfiction,Avavee,23.68,2.5,11768795
124565588-4,Gone to Earth,Erny Fine,Nonfiction,Quatz,41.75,3.2,15677093
271016113-3,Warriors of Virtue,Mal Danilishin,Science Fiction,Vimbo,48.95,3.8,1315186
791030698-9,Requiem,Lorry Petford,Mystery,Zoomcast,29.98,2.9,3677902
383833892-8,Doc of the Dead,Faina Hessing,Historical,Avavee,6.83,3.3,6132304
256792102-8,Bangkok Dangerous,Jard McWhirter,Nonfiction,InnoZ,30.18,4.8,1210606
988815481-8,"Chosen One, The",Shantee Daymont,Fantasy,Vinder,43.41,0.4,2766055
589418173-9,"Dogs of War, The",Ilka Carter,Romance,Innojam,8.18,2.9,15663806
428328998-1,Basket Case,Sax Stean,Historical,Yotz,13.11,2.6,5407578
761787712-9,Spellbound,Carlina Bittlestone,Nonfiction,Roombo,36.75,1.6,5247353
450020376-1,Critters 2: The Main Course,Salvador Fernley,Fantasy,Gabvine,20.85,0.2,3794090
738289582-3,She's Gotta Have It,Jarret Dodds,Fantasy,Skyvu,14.25,3.4,14786780
786899137-2,Ulysses' Gaze (To Vlemma tou Odyssea),Nolly Flewan,Nonfiction,Feedfish,36.03,4,9817077
464353797-3,Cherry Falls,Dinny Thornham,Thriller,Quire,18.85,1.7,10441615
107789266-7,Undercover Blues,Jeni Harly,Science Fiction,Voonder,34.12,2.1,4259358
096017609-8,"Crime of Monsieur Lange, The (Le crime de Monsieur Lange)",Morris Goward,Thriller,Bubbletube,35.63,3.2,641036
561870181-2,"Betrayed, The",Chanda Harling,Thriller,Jatri,34.48,2.3,18053426
027844274-9,Flamenco (de Carlos Saura),Ike Stanlake,Fantasy,Skynoodle,44.96,1,8860590
806411960-X,Sex and the Single Girl,Zollie Pariss,Thriller,Trilith,15.47,2,8460791
523708798-1,"Case Against 8, The",Tye Water,Nonfiction,Quaxo,25,1.7,9123425
379211168-3,Earth (Tierra),Mariya Noulton,Romance,Bubblemix,11.18,4.2,2772232
203664935-1,Hey Arnold! The Movie,Paulita Tuite,Fantasy,Zazio,42.28,3.8,10459754
327310469-4,Maria's Lovers,Carmelina Wanek,Fantasy,Thoughtworks,14.3,0.1,8156968
655006947-5,"Wicker Man, The",Arvin Woffenden,Historical,Meedoo,1.58,5,11508072
489368170-2,"Claymation Christmas Celebration, A",Emmalynne Extal,Fantasy,Digitube,18.12,4.1,8958278
418339224-1,Breathless,Gilberte Apark,Nonfiction,Linklinks,49.27,3.1,9100301
398436551-9,Whatever It Takes,Margery Pays,Romance,Snaptags,3.88,1.1,276861
747731533-6,Breaking and Entering,Ekaterina Simoneau,Nonfiction,Skipfire,31.91,4.3,7787297
309160578-7,Of Human Bondage,Corbin Frounks,Romance,Quimba,46.72,4.1,14206148
536185845-5,"Man with Bogart's Face, The",Kipper Patullo,Science Fiction,Dablist,12.2,3.2,2378595
728995318-5,Coyote Ugly,Page Blasiak,Science Fiction,Babbleset,16.81,4.5,121427
799854159-8,Just Cause,Karon Shimuk,Fantasy,Yakijo,39.92,1.4,7600268
883988125-5,Double Team,Rowland Daal,Romance,Kimia,24.15,4.3,14510281
713374344-2,Palms (Ladoni),Torey Tonna,Fantasy,Topdrive,10.3,3.7,5034195
516507723-3,Tyler Perry's Why Did I Get Married Too?,Daryl Orrow,Mystery,Minyx,31.35,0.1,2262902
716188523-X,"Life of Jesus, The (La vie de Jésus)",Nedi Buckenhill,Fantasy,JumpXS,2.51,2,7189958
131863355-9,The Infinite Man,Atlante Tremathack,Historical,Wordware,36.14,4.2,6685819
675042792-8,Bang the Drum Slowly,Leland Kunz,Science Fiction,Mudo,30.01,4,19422517
492347894-2,Law of the Lawless (Brigada),Marta Gollin,Mystery,Aimbo,14.9,4.1,8666333
676511521-8,"Ballad of Jack and Rose, The",Dionis Sweetmore,Fantasy,Bluezoom,24.32,2.5,296103
376122783-3,Spare Bed-Room,Federica Jirusek,Mystery,Innojam,18.8,2.7,15820033
886820932-2,"Hand, The (Ruka)",Carin Behagg,Science Fiction,Meevee,8.18,0.3,6153589
714759126-7,Bounty Hunters (Bail Enforcers),Beltran Ovenden,Fantasy,Shuffletag,26.99,3.9,19908817
020362947-7,Killer Movie,Juana Littrik,Nonfiction,Kanoodle,47.74,1.9,18193753
153213851-2,Feiern,Melicent Mutter,Nonfiction,Buzzshare,30.06,1.7,4223056
670085030-4,Catch That Kid,Elena Duffyn,Thriller,Flashdog,46.23,2.5,3812181
969018698-1,Good Boy!,Bobbe Primett,Mystery,Buzzster,13.88,3.8,18577045
821795899-8,"Pope of Greenwich Village, The",Merell Leggat,Fantasy,Zoozzy,30.02,1.1,12728787
700171978-1,Bootmen,Svend Henricsson,Historical,Twitterworks,29.48,1.5,2867471
191063707-6,Empire,Otes Meany,Nonfiction,Kanoodle,21.35,1.8,3675213
284874827-3,"Injury to One, An",Kiley Benazet,Romance,LiveZ,6.55,3.3,1460872
629531415-5,"Star Is Born, A",Herve Gerrans,Mystery,Blogtags,22.62,2.4,16344439
337589844-4,"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu)",Randa Bolles,Romance,Zoomdog,35.72,4.9,2224393
481076553-9,Won't Back Down,Bryan Sivior,Romance,Flipopia,32.23,2.2,2985699
211594681-2,Unraveled,Derron Colnett,Nonfiction,Realbridge,8.16,0.1,12025347
200413563-8,"Ice Harvest, The",Leela MacCroary,Mystery,Realbuzz,46.69,1.1,7221033
149262859-X,Meu Passado Me Condena: O Filme,Xymenes de Glanville,Mystery,Zoomlounge,32.32,3.2,18560954
255815160-6,"Little Princess, A",Thaddus Krzyzanowski,Science Fiction,Aivee,6.72,2.5,4885033
102169486-X,Waltz with Bashir (Vals im Bashir),Alain Summerson,Nonfiction,Gigazoom,19.6,2.3,7875545
438980585-1,Across the Hall,Atlante Bigly,Nonfiction,Skipfire,44.88,2.9,15622125
233073236-8,Learning to Ride,Kirsteni Lummasana,Thriller,Kimia,26.54,4.4,2231782
865972108-X,Catlow,Brocky McVeighty,Science Fiction,Realcube,14.95,2.3,1170740
979418987-1,Ménage (Tenue de soirée),Mildrid Salters,Mystery,Meevee,42.25,2.4,2711995
863057466-6,"Seventh Brother, The (A hetedik testvér)",Isahella Bradane,Science Fiction,Blogpad,26.51,4.4,13942338
148493990-5,Two-Lane Blacktop,Ines Seton,Fantasy,Quaxo,3.88,4,1503231
671521348-8,Lazybones,Gabrielle Berrecloth,Science Fiction,Riffpedia,1.36,2.7,7153692
184152720-3,Sacro GRA,Odell Skentelbery,Nonfiction,Myworks,32.41,2.9,13149863
226222459-5,"Day of the Doctor, The",Harley Bunhill,Mystery,Mybuzz,33.85,3.8,839566
178294362-5,Stuck in Love,Byran Tschierasche,Fantasy,Vimbo,26.75,4.6,11943980
464078359-0,Shy People,Filmore Housen,Thriller,Mybuzz,19.05,1.2,10699548
749479969-9,Welcome to the Jungle,Fons Scroxton,Thriller,Topicstorm,30.72,4.2,16401130
833971343-4,Left Behind: World at War,Ned Cubbini,Thriller,Camimbo,41.66,1.6,5281413
214324030-9,Black Lightning (Chernaya Molniya),Sarette Hodgon,Mystery,Gabspot,4.91,4.1,3572449
227300969-0,Three Brave Men,Zorah Duplock,Mystery,Dabjam,31.09,2.9,16431237
317181812-4,"Midsummer Night's Dream, A",Glenden Jouandet,Nonfiction,Oyoloo,45.98,2.6,1917415
497092595-X,Yankee Doodle Dandy,Harris Vispo,Historical,Skibox,7.32,3.6,209089
999481844-9,Kaena: The Prophecy (Kaena: La prophétie),Tiphanie Yorke,Nonfiction,Eadel,8,1.6,6846730
095062682-1,Sketches of Frank Gehry,Yancey Butteris,Science Fiction,Tagpad,30.88,2,15935377
809821206-8,"Moderns, The",Leigha Sholl,Thriller,Kwimbee,19.81,2.1,4379760
993648565-3,De nieuwe Wildernis,Dominick Tunaclift,Science Fiction,Roodel,34.52,2.1,4175750
867403338-5,Virus X,Gabrielle Vasyukov,Thriller,Topdrive,38.59,0.4,17837816
651698611-8,Ass Backwards,Alvis de Nore,Fantasy,Meemm,34.83,1.6,8935759
803751842-6,Awakenings,Alanna Awton,Romance,Zoombox,22.62,3,17595142
029370794-4,"Dirties, The",Janaye Sandwich,Nonfiction,Shuffletag,37.82,3.5,16226965
406195809-7,Confidentially Yours (Vivement dimanche!),Chris Bouzan,Fantasy,Ainyx,6.79,0.8,8745068
998447038-5,Ashik Kerib,Jacqueline Seaborn,Thriller,Oyoloo,27.28,1.9,285673
295997111-6,Another Earth,Ashton Claire,Thriller,Rhycero,36.55,1.7,7517679
347198327-9,Cheech & Chong's Nice Dreams,Teriann Staddom,Nonfiction,Blogtags,32.31,2.6,13862007
407992561-1,Azumi 2: Death or Love,Emmalyn Hughesdon,Fantasy,Brightbean,24.12,2.1,10418385
475650237-7,American Me,Sampson Willmont,Historical,Babbleopia,29.3,3,2620159
689791699-4,"Peacemaker, The",Briano Fugere,Historical,Zooveo,1.57,1.3,11420187
990461871-2,Cape Fear,Nike Ayers,Nonfiction,Oyondu,30.19,1,3012320
021314237-6,Cremaster 5,Raine Loffhead,Historical,Mudo,28.7,4.6,2424812
339825918-9,"Last American Hero, The",Jeniffer Fyrth,Historical,Plambee,49.56,4.2,5636601
408696029-X,Third World Cop,Henriette Thackston,Historical,Wikivu,4.65,0.4,13161643
246369133-6,Westbound,Alexi Attwill,Historical,Thoughtbeat,15.93,0.1,19039892
315907878-7,Halo Legends,Gui Franek,Fantasy,Blognation,45.52,4.3,13627120
712724573-8,Avatar,Sonja Casaletto,Science Fiction,Youspan,9.76,2,15620526
202954557-0,Cocoon,Kliment Waite,Historical,Youopia,4.8,3.3,3185234
289814556-4,Afflicted,Bernardo Suttill,Thriller,Youbridge,10.47,0.2,18389268
790415997-X,Pitch Perfect,Roxi Vasiljevic,Mystery,Thoughtsphere,26.64,4.8,19846163
835441646-1,Deadly Prey,Lorine Garshore,Romance,Skyble,21.86,0.6,8470575
494858894-6,"Two Mrs. Carrolls, The",Zelda Griffitts,Mystery,Plajo,41.09,4.9,1087296
933156834-7,"Debt, The (Dlug)",Alexandro Lithcow,Romance,Minyx,6.7,0.4,13326813
188322289-3,"Two Faces of January, The",Simonne Stormonth,Mystery,Jazzy,26.34,1.6,6102038
029888933-1,Sweepers,Cleopatra Owtram,Fantasy,Blognation,41.7,4.1,19875285
612677837-5,I Think I Do,Marrissa Maren,Fantasy,Browsecat,48.56,0.9,16505148
857177334-3,Lupin III: First Contact (Rupan Sansei: Faasuto Kontakuto),Dani Ledrun,Romance,Trilia,43.85,2,6390441
126102352-8,Wu yen,Gusty Hiorn,Nonfiction,Oyonder,6.4,0.2,16784334
979109882-4,Where Are My Children?,Cary McCurdy,Mystery,Voonder,17.72,3.6,5147612
270943326-5,In the Hands of the Gods,Faustina Robel,Nonfiction,Flipopia,15.35,3.7,5749327
129229441-8,Hans (Kukkulan kuningas) ,Andy Fairlamb,Fantasy,Bluezoom,41.8,2.2,9411308
368822466-3,Pete's Dragon,Augustus Beadles,Mystery,Youtags,25.96,0.4,3054981
023532958-4,Wonderland,Shaun Ottawell,Romance,Kwimbee,34.32,4.2,460591
771921947-3,Over the Brooklyn Bridge,Leann Hewkin,Historical,Omba,49.71,2.2,10409062
902707750-9,Bathory,Christian Gooly,Thriller,Yadel,20.29,3,10704129
038392404-9,Six Ways to Sunday,Artie Treherne,Historical,Livepath,49.55,3.8,18704109
534746416-X,Private Fears in Public Places (Coeurs),Zerk Goscomb,Nonfiction,Rhycero,28.17,0.4,5869242
395927079-8,God of Cookery (Sik san),Elberta Heffernan,Romance,Voomm,5.57,3.8,13567605
797212214-8,Bad 25,Faber Petrov,Mystery,Devify,41.08,2.5,7275438
098750815-6,Chattahoochee,Goraud Lemmen,Science Fiction,Kwideo,26.68,1.2,5732398
759680405-5,Alien Nation: Body and Soul,Sabina Bytheway,Nonfiction,Fadeo,17.16,3.1,5273284
924294685-0,Thirty Day Princess,Clemens Cosgreave,Romance,Livetube,23.99,3.2,1788730
740800379-7,One Man Up (L'uomo in più),Moria Hairyes,Thriller,Linkbridge,11.82,2.7,7945396
334797485-9,"Barchester Chronicles, The",Faustine Spataro,Thriller,Nlounge,22.32,0.1,15375154
666647137-7,"Swindle, The (Bidone, Il)",Angie Badland,Nonfiction,InnoZ,23.06,4.2,15871975
472600307-0,Akira,Alf Elijah,Nonfiction,Meembee,13.73,4.1,1946303
754719877-5,Raising Victor Vargas,Kenna Acreman,Historical,Edgepulse,16.03,2.6,1977666
488705306-1,"Eye, The (Gin gwai) (Jian gui)",Terri Morrice,Thriller,Izio,19.78,0.4,4259501
630588372-6,Killing Season,Ardisj Linnell,Science Fiction,Thoughtworks,13.64,0.9,2768056
143098711-1,"Cool, Dry Place, A",Phil Summerhayes,Fantasy,Edgeclub,2.47,3.5,7216145
322073499-5,Triggermen,Easter Edwardes,Fantasy,Ozu,13.03,0.3,17734724
032041709-3,Blackrock,Rivy Fitchew,Historical,Blogpad,8.54,1.6,12841091
584462502-1,Perched on a Tree (Sur un arbre perché),Bevin Yakebowitch,Historical,Lazz,29.29,3.1,1218441
926969980-3,9 Star Hotel (Malon 9 Kochavim),Boigie Comino,Thriller,Rhyzio,4.07,0.7,9397903
360015249-1,Sol ,Wilone Soane,Romance,Shuffledrive,22.17,0.8,1265479
796783502-6,Girl Shy,Tyson Grix,Nonfiction,Vipe,36.24,0.8,1073818
555756393-8,"Letter, The (La lettre)",Bennie Hales,Fantasy,Vipe,33.25,4.4,17534972
924443706-6,Wrong Turn 4,Sly Innerstone,Science Fiction,Divavu,48.12,3.8,4979745
396994321-3,Phantasm II,Mike Urian,Thriller,Feedfire,32.9,2.7,1846436
254954425-0,Chain Letter,Crista Breem,Romance,Brainverse,23.12,0.6,10727308
204678797-8,Jalla! Jalla!,Angelia Blues,Thriller,Skalith,7.28,2.5,2896230
054191967-9,"Bitch, The (La chienne)",Beck Gaither,Romance,Yodoo,25.09,1.8,8572986
093875094-1,"Four Feathers, The",Edan Lowdeane,Science Fiction,Podcat,18.31,2.1,1303073
045429796-3,Forever Hardcore: The Documentary,Gwynne Moughtin,Nonfiction,Quire,47.52,4.8,15157147
737829036-X,Sydney White,Dari Goudy,Romance,Photobug,29.26,1.1,1498169
327522891-9,"Two Jakes, The",Wendall Frodsham,Fantasy,Oyonder,23.86,2,10246886
717551402-6,For Greater Glory: The True Story of Cristiada,Cristiano Bliben,Romance,Rhyloo,24.61,0.8,7199165
365426886-2,The Lazarus Effect,Carmelle Warham,Nonfiction,Mydeo,36.05,4.6,11670990
477731396-4,Convoy,Rockey MacRory,Thriller,Trilia,9.78,2,10654103
176560147-9,Brainstorm (Bicho de Sete Cabeças),Marian Redihalgh,Romance,Rhyloo,29.68,2.6,7198805
853331366-7,Riding in Cars with Boys,Konstanze Birkby,Romance,Eabox,34.27,1.7,16242712
984257677-9,Trailer Park Boys: Live at the North Pole,Clarie Laxon,Fantasy,Realmix,7,0.5,4379850
976596436-6,Livid (Livide),Ana Cuzen,Romance,Mycat,44.57,0.4,9262539
124111373-4,Dead Man's Bluff,Annie Blazynski,Historical,Fivespan,30.63,0.3,19486655
759720096-X,"Brothers Solomon, The",Charita Dillaway,Nonfiction,Youbridge,26.34,2.7,6101677
437559513-2,"Brothers Grimm, The",Erny Allawy,Mystery,Edgeify,1.8,1.3,13131311
545247074-3,The Last Journey,Adrienne Feldstein,Fantasy,Demimbu,35.29,1.2,1812174
385122747-6,From Beyond,Barnabe Heighton,Nonfiction,Yambee,9.92,0.4,9067515
804646997-1,Ride the Divide,Rabbi Balducci,Historical,Jabbersphere,47.8,0.4,14690015
686511961-4,Project Wild Thing,Hannis Bestman,Thriller,Dabvine,33.25,1.8,17221105
248851876-X,"Syrian Bride, The",Ceil Lowthorpe,Romance,Zooxo,27.92,2.2,13410154
542059292-4,"Chorus, The (Choristes, Les)",Ariel Ravilious,Romance,Topiczoom,42.31,4.8,19688083
776201392-X,Extreme Justice,Gerhard Spurritt,Science Fiction,Skidoo,45.25,2.3,2924589
171765481-9,"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",Auberta Reeday,Thriller,Skyba,5.54,4.3,3334249
523343090-8,Chasing Liberty,Roxie Raxworthy,Science Fiction,Kimia,14.5,3.1,8748002
314183820-8,Pale Cocoon (Peiru Kokun),Livia Meers,Fantasy,Tagopia,29.62,2.3,9367675
862497359-7,Alligator,Debee McEneny,Science Fiction,Voomm,13.82,2.8,3395538
680713586-6,New York Doll,Lisha Escritt,Historical,Buzzdog,20.38,4.3,10234782
637709921-5,Frankenweenie,Caresse Feben,Mystery,Skalith,18.85,2.1,2908415
413508690-X,Cookers,Bathsheba Kippax,Mystery,Mybuzz,32.58,1.1,19269742
951517685-9,The Care Bears Adventure in Wonderland,Lynnell Groundwator,Historical,Twitternation,2.51,0.4,16658612
436872614-6,Kabei: Our Mother (Kâbê),Tarrance Babbe,Thriller,Digitube,3.94,1.8,10778361
915499887-5,Price Check,Darcey Fettiplace,Mystery,Jaxnation,24.84,0.8,6849591
573218875-4,In the City (En la ciudad),Wilow Jakobssen,Nonfiction,Latz,35.86,4.1,7334547
315798389-X,Barabbas,Tad Loverock,Mystery,Geba,24.18,4.5,1520680
083831061-3,The Forgotten Faces,Darren Wethers,Romance,Meezzy,34.66,4.7,17216810
369396659-1,A True Mob Story,Stephanie Sherlock,Nonfiction,Centidel,18.56,1.4,12672849
730323406-3,Orderers (Les ordres),Harland McCheyne,Science Fiction,Npath,18.16,4.8,18717362
892634508-4,Moog,Elysha Arthars,Fantasy,Trupe,10.67,2.9,12986154
880741735-9,Warrior of the Lost World,Kellina Goold,Thriller,Kwideo,6.81,2.5,6867601
503009543-8,Crimson Tide,Joyann Oaker,Historical,Youfeed,6.77,3.3,8557814
303275678-2,"Acadia Acadia?!? (L'acadie, l'Acadie)",Chickie Wasielewicz,Thriller,Camimbo,40.56,1.8,1168818
204718846-6,I Belong (Som du ser meg),Franky Pregel,Historical,Zoombeat,25.72,3.4,8455192
766275628-9,Hell's Hinges,Amos Munnings,Nonfiction,Rhynyx,32.28,4.7,3867327
481209501-8,Blood from the Mummy's Tomb,Maynard Burroughes,Nonfiction,Zoovu,46.85,0.1,7585519
081069421-2,Sarafina!,Anabelle Bothram,Thriller,Twiyo,37.79,2.7,2452995
901560765-6,House Party: Tonight's the Night,Colas Hillyatt,Fantasy,Twimm,20.97,3.3,18824078
937698800-0,"Hurricane Express, The",Titos Whannel,Nonfiction,Vipe,28.94,1.9,9217507
869727115-0,Tales of Terror,Morgun Ferrelli,Thriller,Kazu,35.95,3.7,15954577
834499001-7,Hurlyburly,Wolf Le Prevost,Mystery,Roomm,6.03,3.7,17790221
392252563-6,"Thompsons, The",Al Cuerda,Historical,Browsezoom,5.37,5,16801645
559592993-6,Rules of Engagement,Tove Della,Historical,Mynte,17.85,0.8,4464378
233380590-0,The Little Death,Adan Elham,Historical,Photobug,48.57,4.3,5611990
217337489-3,Bill Burr: I'm Sorry You Feel That Way,Yancy Alwen,Nonfiction,Buzzbean,35.57,2.6,11221309
035581953-8,Lust for Gold,Knox Zanelli,Historical,Demimbu,37.18,3.4,16704050
979284390-6,Dr. No,Lucilia McBain,Thriller,Flashset,39.57,4.9,10028849
364879233-4,"Band Called Death, A",Katerina Gurnay,Fantasy,Flashdog,21.58,1.1,14640486
314126062-1,Beneath the Valley of the Ultra-Vixens,Clevey Casassa,Thriller,Jabberstorm,7.21,4,14532476
900212665-4,Giorgino,Lula Rundall,Thriller,Skyba,20.44,1.8,11114920
133319905-8,"Best and the Brightest, The",Farrand Sibthorpe,Romance,Bubbletube,47.1,3.3,4593740
795350238-0,Loaded,Turner Cathrae,Fantasy,Jaxnation,10.58,4.7,6656156
837207795-9,Creep,Neville Barthelmes,Nonfiction,Bluejam,30.69,4.2,1439836
952006486-9,Fabled,Raynor Lansberry,Science Fiction,Oloo,31.66,2.9,17196144
275168392-4,"Deathmaker, The (Totmacher, Der)",Ruddie Brazil,Nonfiction,Oyondu,34.14,4.7,16705660
840515107-9,Run for Cover,Leonora Henric,Fantasy,Agivu,19.46,1.1,6384714
415333641-6,"Tale of Princess Kaguya, The (Kaguyahime no monogatari)",Huberto Smallwood,Mystery,Jatri,34.65,3.9,2856324
287305303-8,Mimic,Ava Martinez,Historical,Edgewire,16.86,0.6,4633989
379308339-X,"Fifth Estate, The",Shellie Adriaens,Nonfiction,Browsezoom,5.95,1.7,304107
287663291-8,Lupin the 3rd,Colly Dotterill,Historical,InnoZ,2.31,4,16274593
431100055-3,"Bad News Bears Go to Japan, The",Janel Coggles,Science Fiction,Topdrive,11.88,3.3,12137761
445860801-0,"Love, Honour and Obey",Bail Alfonsetti,Thriller,Mybuzz,21.1,1.6,19094569
517425223-9,Transformers: Revenge of the Fallen,Orran Noulton,Science Fiction,Twiyo,30.82,0.4,10766872
090985316-9,"Samouraï, Le (Godson, The)",Basilio Leather,Romance,Twitterbeat,30.91,1.7,11264764
958407318-4,"Bench, The (Bænken)",Mel Pohlak,Mystery,Jabberbean,16.99,2,1027517
381891641-1,Captive Women (1000 Years from Now) (3000 A.D.),Edvard Edelman,Thriller,Browsecat,16.14,4.5,1110029
724800065-5,Into the Abyss,Even Meese,Romance,Miboo,2.84,3.6,8950530
846413150-X,"Cardinal, The",Marvin Rosewall,Science Fiction,Zoonoodle,44.82,1.8,8852908
171028663-6,"One I Love, The",Carce Seelbach,Thriller,Lazzy,32.47,0.1,835179
382888845-3,Afterschool,Anabella Ritelli,Romance,Twinder,4.82,2.4,6271508
502526527-4,"Ghost and Mr. Chicken, The",Ky Hixson,Mystery,Livepath,13.64,3.7,15749659
443784734-2,"Rebel, The (Le Rebelle)",Nerissa Ibbott,Mystery,Zoozzy,18.75,3.4,1859314
370398050-8,"Wasp Woman, The",Anatol McAuliffe,Science Fiction,LiveZ,20.52,2.6,15295225
669614762-4,Salvatore Giuliano,Elvis Tibbetts,Science Fiction,Thoughtbeat,46.27,3.4,12957627
434377523-2,One Last Hug,Tremain Pomfret,Science Fiction,Riffpedia,13.17,3.9,10727535
672074352-X,American Kickboxer 2 (American Kickboxer 2: To the Death),Arliene Patty,Romance,Aivee,39.97,0.3,15481006
947527788-9,Spies (Spione),Steffi Meriton,Historical,Edgepulse,29.58,1.8,14790279
324832948-3,Timerider: The Adventure of Lyle Swann,Reginald Addams,Mystery,Gigazoom,25.87,3.9,11684644
127804006-4,Make Way for Tomorrow,Brew MacFadzan,Thriller,Voomm,7.69,4.7,6110798
057652369-0,Bubba Ho-tep,Powell Lansdowne,Mystery,Flashpoint,34.32,1.6,9877039
840839525-4,Bride of the Wind,Pauly Payle,Thriller,Roodel,38.4,0.5,18855519
485296494-7,Nazareno Cruz and the Wolf,Leigh Rieme,Thriller,Photobean,46.61,3,172773
198266589-0,"Warlords, The (Tau ming chong)",Dimitry Keepe,Fantasy,Buzzdog,42.28,3.6,10765844
600435291-8,Call Me Savage,Nydia Roskelley,Nonfiction,Skiba,46.85,4.8,839398
131799563-5,Blood Games ,Spike Ravenhills,Mystery,Thoughtstorm,41.12,3.5,11064502
388840395-2,"Misérables, Les",Ethan Prettyjohn,Historical,Babbleblab,48.6,3,16611059
773766257-X,Zone 39,Carilyn Attard,Nonfiction,Blogtag,24.93,2.5,2501949
097879086-3,All the Boys Love Mandy Lane,Traver Riseborough,Thriller,Yoveo,2.92,1.9,8034953
844690509-4,City Streets,Benson Fleis,Romance,Jabbersphere,49.38,1.7,17154477
569090468-6,Praying with Lior,Halimeda Mityukov,Nonfiction,Realcube,39.93,0.8,2930487
937241406-9,Catfish,Pail Look,Historical,Fivebridge,33.84,1.7,8994581
450855188-2,Legends of the Fall,Darren Giacomuzzi,Historical,Browsebug,18.93,2,5933420
513149920-8,"Late George Apley, The",Cletis Allport,Nonfiction,Jaloo,42.04,4.1,16469010
853167735-1,"Fat, Sick & Nearly Dead",Esta Derle,Science Fiction,Cogidoo,48.39,2.7,8871772
086894349-5,Terminal Velocity,Alysia Clewlowe,Mystery,Kimia,23.65,2.9,13923005
858650638-9,My Own Private Idaho,Sharlene Hebard,Fantasy,Twitterbeat,29.23,0.7,11467671
656416805-5,Out of the Clear Blue Sky,Dreddy Ducker,Historical,Rhycero,34.41,4.3,9690076
617427749-6,Alabama Moon,Blondelle Giorgi,Science Fiction,Roomm,31.02,2.3,14319188
839038982-7,Powder Blue,Elisa Churching,Nonfiction,Ainyx,1.19,0.8,16235258
753311877-4,Fanfan la Tulipe (Fan-Fan the Tulip),Packston Hintzer,Thriller,Yacero,11.58,3.6,8416414
465189984-6,The Black Devil,Noel Farre,Thriller,Edgeblab,21.78,3.2,18261727
671864987-2,Loaf and Camouflage,Nadine Gredden,Science Fiction,Bubblebox,42.38,3.7,10786977
180948926-1,American Reunion (American Pie 4),Blithe Shiels,Mystery,Pixonyx,21.14,3.6,6898310
159394270-2,"Lake, A (Un lac)",Robert Friedman,Fantasy,Jabbersphere,1.53,1,16859486
745420237-3,Irina Palm,Alfonso Phebee,Romance,Tazz,46.14,2.3,14357496
470472410-7,Uwasa No Onna (The Woman in the Rumor) (Her Mother's Profession),Ruthie Andrez,Thriller,Yoveo,49.87,4.7,16868868
024551729-4,All Night Long,May Juppe,Science Fiction,Einti,14.45,1.8,5666242
904640959-7,Trailer Park Boys: The Movie,Garv Arkil,Mystery,Meetz,48.62,4,11095121
225447392-1,My Neighbors the Yamadas (Hôhokekyo tonari no Yamada-kun),Addison Danes,Historical,Realcube,1.7,4.4,11713957
276567098-6,Phantasm III: Lord of the Dead,Dominick Dionisetti,Thriller,Twitterlist,7.64,0.9,18537612
596688909-0,Evil Dead,Tanhya Clutram,Romance,Bubbletube,42.47,2.7,16149565
752317949-5,Life as a House,Amabel Kilius,Nonfiction,Fadeo,36.22,2.5,11037984
168921723-5,"Woman in the Fifth, The (Femme du Vème, La)",Boonie Giametti,Historical,Janyx,46.55,3.8,16288096
